A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
1  	n     	0  	1  	0.0000  	1/2+          	8.0713171           	5         	613.9 S 6                	613.9                    	          	        	B-      	100.00      
1  	H      	1  	0  	0.0000  	1/2+          	7.28897061          	9         	STABLE                   	infinity                 	99.9885%  	70      	        	            
2  	H      	1  	1  	0.0000  	1+            	13.13572176         	11        	STABLE                   	infinity                 	0.0115%   	70      	        	            
3  	H      	1  	2  	0.0000  	1/2+          	14.94980993         	22        	12.32 Y 2                	3.888E8                  	          	        	B-      	100.00      
4  	H      	1  	3  	0.0000  	2-            	24.62               	10        	                         	                         	          	        	N       	100.00      
5  	H      	1  	4  	0.0000  	(1/2+)        	32.89               	9         	5.7 MEV 21               	7.995E-23                	          	        	2N      	100.00      
6  	H      	1  	5  	0.0000  	(2-)          	41.9                	3         	1.6 MEV 4                	2.848E-22                	          	        	N       	100.00      
7  	H      	1  	6  	        	(1/2+)        	49.1                	10        	0.09 MeV                 	5.0633E-21               	          	        	4N      	            
3  	He     	2  	1  	0.0000  	1/2+          	14.93121793         	21        	STABLE                   	infinity                 	0.000134% 	3       	        	            
4  	He     	2  	2  	0.0000  	0+            	2.42491561          	6         	STABLE                   	infinity                 	99.999866%	3       	        	            
5  	He     	2  	3  	0.0000  	3/2-          	11.231              	20        	0.60 MEV 2               	7.595E-22                	          	        	A       	100.00      
5  	He     	2  	3  	0.0000  	3/2-          	11.231              	20        	0.60 MEV 2               	7.595E-22                	          	        	N       	100.00      
6  	He     	2  	4  	0.0000  	0+            	17.59210            	5         	806.7 MS 15              	0.807                    	          	        	B-      	100.00      
7  	He     	2  	5  	0.0000  	(3/2)-        	26.073              	8         	150 KEV 20               	3.038E-21                	          	        	N       	            
8  	He     	2  	6  	0.000   	0+            	31.60968            	9         	119.1 MS 12              	0.119                    	          	        	B-      	100.        
8  	He     	2  	6  	0.000   	0+            	31.60968            	9         	119.1 MS 12              	0.119                    	          	        	BN      	16.         
9  	He     	2  	7  	0.0000  	1/2+          	40.94               	5         	                         	                         	          	        	N       	100.00      
10 	He     	2  	8  	0.0000  	0+            	49.20               	9         	300 KEV 200              	1.519E-21                	          	        	N       	100.00      
3  	Li     	3  	0  	        	              	28.7                	20        	                         	                         	          	        	P       	?           
4  	Li     	3  	1  	0.0000  	2-            	25.32               	21        	6.03 MEV                 	7.557E-23                	          	        	P       	100.00      
5  	Li     	3  	2  	0.0000  	3/2-          	11.68               	5         	1.5 MEV AP               	3.038E-22                	          	        	P       	100.00      
5  	Li     	3  	2  	0.0000  	3/2-          	11.68               	5         	1.5 MEV AP               	3.038E-22                	          	        	A       	100.00      
6  	Li     	3  	3  	0.0000  	1+            	14.0868790          	14        	STABLE                   	infinity                 	7.59%     	4       	        	            
7  	Li     	3  	4  	0.0000  	3/2-          	14.907105           	4         	STABLE                   	infinity                 	92.41%    	4       	        	            
8  	Li     	3  	5  	0.0000  	2+            	20.94580            	5         	839.9 MS 9               	0.84                     	          	        	B-      	100.00      
8  	Li     	3  	5  	0.0000  	2+            	20.94580            	5         	839.9 MS 9               	0.84                     	          	        	BA      	100.00      
9  	Li     	3  	6  	0.0000  	3/2-          	24.95490            	19        	178.3 MS 4               	0.178                    	          	        	B-      	100.00      
9  	Li     	3  	6  	0.0000  	3/2-          	24.95490            	19        	178.3 MS 4               	0.178                    	          	        	BN      	? 50.00     
10 	Li     	3  	7  	0.0000  	(1-,2-)       	33.053              	13        	                         	                         	          	        	N       	100.00      
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6         	8.75 MS 14               	0.00875                  	          	        	B3N     	1.90        
